expenditure_group,year,month,cpi,rate_inflation_yoy
"Foods, Beverages and Tobacco",2021,1,108.87,2.8142411936915703
"Foods, Beverages and Tobacco",2021,2,108.95,1.9176800748362928
"Foods, Beverages and Tobacco",2021,3,109.39,2.2240912064293012
"Foods, Beverages and Tobacco",2021,4,109.61,2.334049108393241
"Foods, Beverages and Tobacco",2021,5,110.03,3.053292123255601
"Foods, Beverages and Tobacco",2021,6,109.25,1.8458096392281198
"Foods, Beverages and Tobacco",2021,7,109.41,2.74204150624472
"Foods, Beverages and Tobacco",2021,8,109.06,3.305863408165207
"Foods, Beverages and Tobacco",2021,9,108.55,3.204031184635853
"Foods, Beverages and Tobacco",2021,10,108.66,3.0050241729073863
"Foods, Beverages and Tobacco",2021,11,109.57,2.979323308270665
"Foods, Beverages and Tobacco",2021,12,111.33,3.0928789702750286
"Foods, Beverages and Tobacco",2022,1,112.63,3.453660328832544
"Foods, Beverages and Tobacco",2022,2,111.68,2.5057365764112016
"Foods, Beverages and Tobacco",2022,3,113.32,3.5926501508364503
Foods,2021,1,108.1,2.6688194510399734
Foods,2021,2,108.14,1.5971439308530657
Foods,2021,3,108.64,2.0573038985439154
Foods,2021,4,108.84,2.2259791490560765
Foods,2021,5,109.31,3.1518354251203204
Foods,2021,6,108.25,1.6050309742819537
Foods,2021,7,108.4,2.7877868386118076
Foods,2021,8,107.88,3.5018708625155828
Foods,2021,9,107.1,3.26873011281458
Foods,2021,10,107.14,2.959830866807609
Foods,2021,11,108.21,2.910128388017107
Foods,2021,12,110.33,3.0447370878864346
Foods,2022,1,111.7,3.3302497687326635
Foods,2022,2,110.4,2.089883484372115
Foods,2022,3,112.34,3.4057437407952897
Non-Alcoholic Beverages,2021,1,107.61,1.1182108626198062
Non-Alcoholic Beverages,2021,2,107.82,1.468097120271022
Non-Alcoholic Beverages,2021,3,107.83,1.3059000375798577
Non-Alcoholic Beverages,2021,4,108.05,1.2652296157450744
Non-Alcoholic Beverages,2021,5,108.1,1.2267066204700703
Non-Alcoholic Beverages,2021,6,108.42,1.3839536188516963
Non-Alcoholic Beverages,2021,7,108.52,1.4110830763479962
Non-Alcoholic Beverages,2021,8,108.73,1.53142216826968
Non-Alcoholic Beverages,2021,9,108.8,1.5683345780433091
Non-Alcoholic Beverages,2021,10,109.03,1.5933656354826762
Non-Alcoholic Beverages,2021,11,109.11,1.582720417093383
Non-Alcoholic Beverages,2021,12,109.36,1.6640327228781318
Non-Alcoholic Beverages,2022,1,109.66,1.9050274138091228
Non-Alcoholic Beverages,2022,2,109.66,1.7065479502875194
Non-Alcoholic Beverages,2022,3,109.89,1.9104145414077738
Alcoholic Beverages,2021,1,102.64,-0.4365117858182198
Alcoholic Beverages,2021,2,102.98,-0.1260789448162113
Alcoholic Beverages,2021,3,103.03,-0.02910925674364558
Alcoholic Beverages,2021,4,103.18,0.10672358591249989
Alcoholic Beverages,2021,5,103.03,0.44847421273277566
Alcoholic Beverages,2021,6,103.22,0.8598788352550278
Alcoholic Beverages,2021,7,102.51,0.21507478736924318
Alcoholic Beverages,2021,8,102.87,0.5670153485189151
Alcoholic Beverages,2021,9,103.22,1.4347484276729499
Alcoholic Beverages,2021,10,103.27,0.6726457399103116
Alcoholic Beverages,2021,11,103.64,1.0333398323259917
Alcoholic Beverages,2021,12,103.98,1.1970802919708068
Alcoholic Beverages,2022,1,104.68,1.9875292283710113
Alcoholic Beverages,2022,2,105.83,2.7675276752767473
Alcoholic Beverages,2022,3,106.77,3.6300106765019846
Cigarette and Tobacco,2021,1,115.8,5.27272727272727
Cigarette and Tobacco,2021,2,116.1,4.613443863759227
Cigarette and Tobacco,2021,3,116.38,4.133858267716526
Cigarette and Tobacco,2021,4,116.84,3.9871840512637986
Cigarette and Tobacco,2021,5,117.17,3.828090385467441
Cigarette and Tobacco,2021,6,117.57,3.979835500132661
Cigarette and Tobacco,2021,7,117.9,3.6119166886369625
Cigarette and Tobacco,2021,8,118.36,3.407303861611048
Cigarette and Tobacco,2021,9,119.33,4.045688377365072
Cigarette and Tobacco,2021,10,119.88,4.406897753004705
Cigarette and Tobacco,2021,11,120.3,4.563233376792699
Cigarette and Tobacco,2021,12,120.62,4.577770071094157
Cigarette and Tobacco,2022,1,122.29,5.604490500863566
Cigarette and Tobacco,2022,2,123.14,6.063738156761418
Cigarette and Tobacco,2022,3,123.78,6.3584808386320715
